,img,player,position,height,weight,college,draft_yr,pick,drafted_by,all_nba,all_star,yrs,games,games_started,tot_min_played,tot_pts,tot_trb,tot_ast,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,win_share,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
132,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/onuakch01.jpg,Chinanu Onuaku,C, 6-10,245lb,Louisville,2016,37,HOU,0,0,2,6,1,74,18,14,4,0.583,0.0,1.0,12.3,3.0,2.3,0.7,1.2,2.0,0.0,0.0,0.583,0.7,0.7,0.5,1.8,0.5,0.2,1.2,1.7,0.1,0.043,-4.1,0.0,1,82,245,5,Wayne Simien
133,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/mccawpa01.jpg,Patrick McCaw,SG, 6-7,185lb,UNLV,2016,38,MIL,0,0,3,157,31,2432,585,230,187,0.42,0.299,0.7909999999999999,15.5,3.7,1.5,1.2,1.4,3.4,0.4,1.5,0.485,0.4,0.5,0.3,1.2,0.6,0.2,0.6,1.1,2.8,0.055999999999999994,-2.3,-0.2,1,79,185,2,Wesley Iwundu
134,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/stonedi01.jpg,Diamond Stone,C, 6-11,255lb,Maryland,2016,40,NOP,0,0,1,7,0,24,10,6,0,0.231,0.0,1.0,3.4,1.4,0.9,0.0,0.4,1.9,0.0,0.0,0.231,0.6,0.6,0.1,0.7,0.0,0.1,0.3,0.7,-0.1,-0.21100000000000002,-24.1,-0.1,1,83,255,5,Rolando Ferreira
135,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/zimmest01.jpg,Stephen Zimmerman,C, 7-0,240lb,UNLV,2016,41,ORL,0,0,1,19,0,108,23,35,4,0.32299999999999995,0.0,0.6,5.7,1.2,1.8,0.2,0.5,1.6,0.0,0.0,0.32299999999999995,0.2,0.3,0.6,1.3,0.1,0.3,0.2,0.9,0.0,-0.005,-7.3,-0.1,1,84,240,5,Solomon Alabi
136,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/whiteis01.jpg,Isaiah Whitehead,PG, 6-4,213lb,Seton Hall,2016,42,UTA,0,0,2,89,26,1823,643,210,212,0.41100000000000003,0.305,0.7879999999999999,20.5,7.2,2.4,2.4,2.7,6.7,0.6,1.9,0.45399999999999996,1.2,1.5,0.4,2.0,0.6,0.4,1.9,2.2,-0.9,-0.025,-4.9,-1.4,1,76,213,1,Andrew Harrison
137,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/qizh01.jpg,Zhou Qi,C, 7-1,210lb,No college,2016,43,HOU,0,0,2,19,0,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,0.4,1.7,0.1,1.0,0.242,0.4,0.6,0.3,0.8,0.1,0.7,0.5,0.7,-0.2,-0.09300000000000001,-7.1,-0.2,0,85,210,5,Cheikh Samb
138,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/jacksde01.jpg,Demetrius Jackson,PG, 6-1,201lb,Notre Dame,2016,45,BOS,0,0,3,26,0,136,48,19,17,0.486,0.28600000000000003,0.667,5.2,1.8,0.7,0.7,0.7,1.4,0.2,0.5,0.541,0.3,0.5,0.3,0.4,0.3,0.0,0.4,0.4,0.2,0.087,-2.2,0.0,1,73,201,1,Willie Warren
139,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/hammoaj01.jpg,A.J. Hammons,C, 7-0,260lb,Purdue,2016,46,DAL,0,0,1,22,0,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0.8,1.9,0.2,0.5,0.46399999999999997,0.4,0.9,0.4,1.3,0.0,0.6,0.5,1.0,0.0,-0.001,-5.6,-0.1,1,84,260,5,Johnny O'Bryant
140,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/laymaja01.jpg,Jake Layman,SF, 6-9,215lb,Maryland,2016,47,ORL,0,0,3,141,35,1736,653,257,75,0.457,0.302,0.7140000000000001,12.3,4.6,1.8,0.5,1.8,4.0,0.5,1.8,0.525,0.5,0.6,0.5,1.4,0.3,0.3,0.4,1.1,2.7,0.075,-1.7,0.1,1,81,215,3,Glenn Robinson III
141,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/zipsepa01.jpg,Paul Zipser,SF, 6-8,215lb,No college,2016,48,CHI,0,0,2,98,30,1667,458,256,82,0.371,0.335,0.769,17.0,4.7,2.6,0.8,1.7,4.6,0.7,2.1,0.44799999999999995,0.5,0.7,0.3,2.3,0.4,0.3,0.8,1.7,0.0,-0.001,-4.8,-1.2,0,80,215,3,Kostas Papanikolaou
142,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/gbinimi01.jpg,Michael Gbinije,SG, 6-7,200lb,Syracuse,2016,49,DET,0,0,1,9,0,32,4,3,2,0.1,0.0,1.0,3.6,0.4,0.3,0.2,0.1,1.1,0.0,0.4,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.2,-0.1,-0.136,-10.5,-0.1,1,79,200,2,Kris Joseph
143,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/niangge01.jpg,Georges Niang,PF, 6-8,230lb,Iowa State,2016,50,IND,0,0,3,91,0,641,265,113,43,0.434,0.364,0.821,7.0,2.9,1.2,0.5,1.1,2.5,0.5,1.3,0.531,0.3,0.3,0.2,1.1,0.2,0.1,0.3,0.7,1.0,0.073,-2.8,-0.1,1,80,230,4,Jake Layman
144,https://d2cwpp38twqe55.cloudfront.net/req/201910033/images/players/bentibe01.jpg,Ben Bentil,PF, 6-9,235lb,Providence,2016,51,BOS,0,0,1,3,0,10,0,2,0,0.0,0.0,0.0,3.3,0.0,0.7,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.3,-0.1,-0.473,-26.9,-0.1,1,81,235,4,Casey Shaw
