img,player,position,height,weight,college,draft_yr,pick,drafted_by,yrs,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Ken Green,PF, 6-8,215lb,University of Texas-Pan American,1981,34,DEN,1,0.481,0,0.556,10.3,4.4,3.9,0.3,1.9,3.9,0,0,0.481,0.7,1.3,1.7,2.1,0.6,0,0.1,1.1,0.184,-0.5,0,1,80,215,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Charles Davis,SF, 6-7,215lb,Vanderbilt,1981,35,WSB,8,0.451,0.17,0.737,12.2,5.3,2.4,0.7,2.3,5.2,0,0.3,0.455,0.6,0.8,0.9,1.5,0.3,0.2,0.8,1.5,0.056,-3.6,-2,1,79,215,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Ray Blume,SG, 6-4,185lb,Oregon State,1981,36,IND,1,0.459,0.222,0.643,11.1,4.6,0.8,1.4,2.1,4.5,0.1,0.4,0.468,0.4,0.6,0.3,0.6,0.5,0,1.1,1.2,-0.013,-5.9,-0.5,1,76,185,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Claude Gregory,PF, 6-8,205lb,Wisconsin,1981,41,WSB,2,0.456,0,0.333,12.6,5.4,3.9,0.6,2.5,5.4,0,0,0.456,0.5,1.4,1.6,2.3,0.4,0.5,1,1.5,0.007,-4.2,-0.2,1,80,205,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Elston Turner,SF, 6-5,190lb,University of Mississippi,1981,43,DAL,8,0.432,0.152,0.714,17.8,4.7,2.7,1.8,2.1,4.8,0,0.1,0.433,0.6,0.8,1.1,1.6,0.9,0.1,0.9,1.8,0.045,-1.6,0.9,1,77,190,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Steve Lingenfelter,PF, 6-9,225lb,South Dakota State University,1981,44,WSB,2,0.714,0,0,6.7,1,1.6,0.5,0.5,0.7,0,0,0.714,0,0.6,0.4,1.2,0.1,0.3,0.6,2.2,0.009,-3.4,0,1,81,225,4
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,David Burns,PG, 6-2,180lb,Saint Louis University,1981,49,NJN,1,0.438,0,0.6,9.7,2.6,0.6,1.7,0.8,1.8,0,0,0.438,1,1.7,0.1,0.4,0.3,0,1.4,1.9,-0.071,-9.4,-0.2,1,74,180,1
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Rudy Macklin,SF, 6-7,205lb,LSU,1981,52,ATL,3,0.449,0,0.776,17.2,6.4,2.9,0.8,2.5,5.5,0,0,0.449,1.5,2,1.3,1.6,0.5,0.2,1.3,2.7,0.056,-2.8,-0.6,1,79,205,3
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Mark Radford,SG, 6-4,190lb,Oregon State,1981,53,SEA,2,0.507,0.286,0.458,8.3,3.6,0.8,1.7,1.4,2.8,0.1,0.2,0.518,0.7,1.5,0.3,0.5,0.5,0.1,1.2,1.5,0.023,-3.4,-0.3,1,76,190,2
https://wingslax.com/wp-content/uploads/2017/12/no-image-available.png,Jim Smith,PF, 6-9,225lb,Ohio State,1981,54,SDC,2,0.514,0,0.461,11.5,2.9,2.5,0.6,1.2,2.3,0,0,0.514,0.5,1.2,0.9,1.5,0.3,0.7,0.6,2.5,0.037,-1.9,0,1,81,225,4
