,draft_yr,pick,fg_pct,fg3_pct,ft_pct,min_pg,pts_pg,trb_pg,ast_pg,fg_pg,fga_pg,fg3_pg,fg3a_pg,efg_pct,ft_pg,fta_pg,orb_pg,drb_pg,steals_pg,blocks_pg,tov_pg,pf_pg,ws_per_game,bpm,vorp,attend_college,inches,pounds,pos_num,player_comp
27,2018,32,0.303,0.333,0.813,14.8,4.4,1.7,1.8,1.4,4.7,0.9,2.6,0.395,0.7,0.8,0.4,1.3,0.7,0.3,0.8,1.4,-0.003,-4,-0.3,1,74,196,1,Cameron Payne
28,2018,33,0.467,0.348,0.725,21.8,9.3,2.3,3.2,3.6,7.7,0.9,2.5,0.523,1.2,1.6,0.3,2,0.5,0.1,1.2,1.7,0.077,-2.5,-0.2,1,75,190,1,Shelvin Mack
29,2018,35,0.333,0,0.25,4.4,1.5,0.5,0.1,0.7,2.1,0,0.6,0.333,0.1,0.4,0.3,0.2,0.1,0,0.1,0.6,-0.133,-12.9,-0.1,1,78,200,2,Gary Trent Jr.
30,2018,36,0.694,0,0.6,20.6,7.3,6.4,0.6,3.1,4.4,0,0,0.694,1.2,2,2.7,3.7,0.8,2.4,0.5,3.3,0.217,5.7,2.7,0,85,240,5,Clint Capela
31,2018,37,0.32,0.238,0.429,7.4,2.7,0.7,0.3,1.1,3.3,0.3,1.4,0.37,0.2,0.5,0.1,0.7,0.1,0.1,0.3,0.3,-0.092,-10.3,-0.2,1,78,205,2,Maurice Ager
32,1995,11,0.501,0.08,0.643,19.5,8.6,4.5,1,3.5,7.1,0,0.1,0.501,1.5,2.4,1.7,2.8,0.4,0.3,1.2,2.2,0.113,-1.3,1.7,1,80,250,4,Jason Caffey
33,2018,38,0.319,0.286,0.636,7.5,2.3,0.8,0.3,0.8,2.7,0.4,1.3,0.391,0.3,0.4,0.2,0.6,0.3,0.2,0.2,0.8,0.005,-5.2,-0.2,1,75,210,2,Davon Reed
34,2018,39,0.152,0,0.6,5.5,0.9,1.1,0.7,0.2,1.5,0,0.4,0.152,0.4,0.7,0.4,0.7,0.4,0.2,0.3,0.4,-0.059,-4.3,-0.1,0,80,180,1,Yaroslav Korolev
35,2018,40,0.45,0.315,0.783,20.5,8.5,3.9,0.8,3.2,7.1,0.9,2.9,0.514,1.1,1.5,0.9,3,0.7,0.4,1.2,2.3,0.059,-2.4,-0.1,0,81,210,3,Cedi Osman
36,2018,41,0.474,0,0.6,4.1,1.4,1.4,0.2,0.5,1.1,0,0.1,0.474,0.4,0.6,0.4,0.9,0.4,0.1,0.5,0.5,0.037,-4,0,1,81,214,4,Brice Johnson
37,2018,42,0.398,0.258,0.75,19.6,4.3,2.5,1.2,1.7,4.2,0.3,1.3,0.436,0.6,0.8,0.6,1.9,0.5,0.5,0.6,2.4,0.048,-2,0,1,77,202,2,Wesley Iwundu
38,2018,45,0.455,0.167,0.61,10.3,3.7,1.9,0.3,1.5,3.2,0.1,0.5,0.467,0.7,1.2,0.7,1.2,0.4,0.2,0.5,1.5,0.069,-4.7,-0.4,1,77,198,2,Sindarius Thornwell
39,2018,46,0.391,0.305,0.75,19.7,5,2.7,3.2,2,5.1,0.6,1.9,0.447,0.4,0.6,0.5,2.2,1.4,0.5,1.5,2.3,0.002,-2.6,-0.1,1,76,200,1,Earl Watson
40,2018,47,0.329,0.326,0.6,10.5,3.2,0.9,0.9,1.1,3.3,0.7,2.1,0.432,0.3,0.5,0.2,0.6,0.3,0,0.5,0.6,-0.012,-5.7,-0.4,1,80,205,3,Davon Reed
41,2018,48,0.423,0.25,0.643,16.8,5,2.8,0.6,2,4.7,0.4,1.7,0.468,0.6,0.9,0.5,2.2,0.6,0.5,0.5,1,0.032,-3.1,-0.1,1,81,229,3,Jake Layman
42,2018,49,0.328,0,0.765,5,1.8,1.2,0.4,0.7,2,0,0.1,0.328,0.4,0.6,0.3,0.9,0.2,0.1,0.5,0.5,-0.099,-9.2,-0.3,1,82,225,4,Cameron Bairstow
43,2018,50,0.25,0.5,0.5,4.6,0.9,1.4,0.1,0.3,1.1,0.1,0.1,0.281,0.3,0.6,0.3,1.1,0.1,0.2,0,0.5,0.027,-8.1,-0.1,1,81,212,4,Tim James
44,2018,52,0.25,0.25,0,8,1.5,1,0,0.5,2,0.5,2,0.375,0,0,0.5,0.5,0,0,0,0,-0.014,-9.8,0,1,80,225,3,Jacob Evans
45,2018,54,0.391,0.318,0.714,13.4,4.4,1.8,0.9,1.7,4.4,0.7,2.2,0.471,0.3,0.4,0.5,1.3,0.4,0.4,0.3,1.5,0.059,-2.7,0,1,78,207,2,Pat Connaughton
46,2018,56,0.532,0,0.333,10.6,3.9,3.4,0.4,1.8,3.4,0,0.2,0.532,0.3,0.9,1.1,2.4,0.6,0.6,0.6,1.6,0.051,-3.4,-0.1,1,82,215,4,Jarvis Varnado
47,2018,58,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.6,1.2,0.3,0.6,0.654,0.1,0.2,0,0.4,0,0,0.1,0.3,0.162,-2.6,0,1,84,255,5,Tyler Lydon
48,2018,59,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.001,-10.6,0,1,78,225,3,Keith Benson
